Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10011,2023-09-07,2023-09-14,First Class,CUST-1252,Customer 1252,Home Office,United Kingdom,Bristol,Scotland,44438,South,PROD-698,Furniture,Tables,Tables 242,691.91,3,0.24,30.68
ORD-10012,2023-11-04,2023-11-11,Second Class,CUST-1224,Customer 1224,Consumer,United Kingdom,Bristol,Wales,21915,South,PROD-981,Technology,Accessories,Accessories 470,684.05,2,0.12,125.13
ORD-10013,2023-07-19,2023-07-24,Standard Class,CUST-1811,Customer 1811,Home Office,United Kingdom,Leeds,Scotland,18326,East,PROD-490,Furniture,Bookcases,Bookcases 263,254.52,1,0.39,-0.53
ORD-10014,2023-05-18,2023-05-25,First Class,CUST-1881,Customer 1881,Consumer,United Kingdom,Cardiff,Scotland,25014,South,PROD-649,Technology,Accessories,Accessories 666,537.14,1,0.28,79.97
ORD-10015,2023-07-01,2023-07-02,First Class,CUST-1300,Customer 1300,Corporate,United Kingdom,Birmingham,Wales,10425,Central,PROD-996,Technology,Accessories,Accessories 214,2016.86,5,0.06,411.69
ORD-10016,2023-07-25,2023-08-01,First Class,CUST-1934,Customer 1934,Consumer,United Kingdom,Glasgow,Scotland,49117,Central,PROD-619,Technology,Phones,Phones 619,1393.08,3,0.09,267.25
ORD-10017,2023-04-29,2023-05-01,First Class,CUST-1165,Customer 1165,Home Office,United Kingdom,Glasgow,Scotland,10074,West,PROD-431,Furniture,Tables,Tables 880,752.93,3,0.14,59.49
ORD-10018,2023-08-01,2023-08-05,First Class,CUST-1899,Customer 1899,Corporate,United Kingdom,Birmingham,England,41571,South,PROD-180,Furniture,Chairs,Chairs 471,268.79,1,0.17,22.78
ORD-10019,2023-06-09,2023-06-15,First Class,CUST-1070,Customer 1070,Home Office,United Kingdom,Glasgow,England,26828,East,PROD-586,Technology,Accessories,Accessories 935,1247.79,2,0.16,209.85
ORD-10020,2023-08-18,2023-08-25,First Class,CUST-1621,Customer 1621,Corporate,United Kingdom,Birmingham,Scotland,36365,West,PROD-419,Office Supplies,Storage,Storage 993,56.96,2,0.16,8.25
ORD-10021,2023-06-11,2023-06-14,Second Class,CUST-1448,Customer 1448,Home Office,United Kingdom,Leeds,England,42493,South,PROD-165,Technology,Machines,Machines 482,502.9,3,0.06,103.56
ORD-10022,2024-02-14,2024-02-15,First Class,CUST-1235,Customer 1235,Home Office,United Kingdom,Birmingham,England,19305,Central,PROD-746,Furniture,Bookcases,Bookcases 667,498.26,2,0.15,39.9
ORD-10023,2023-07-03,2023-07-07,Standard Class,CUST-1880,Customer 1880,Corporate,United Kingdom,London,Scotland,41195,East,PROD-785,Furniture,Chairs,Chairs 132,216.07,1,0.26,13.36
ORD-10024,2023-07-11,2023-07-17,Standard Class,CUST-1740,Customer 1740,Home Office,United Kingdom,Bristol,Wales,41850,South,PROD-926,Furniture,Bookcases,Bookcases 235,801.96,3,0.08,71.27
ORD-10025,2023-07-24,2023-07-31,Standard Class,CUST-1674,Customer 1674,Corporate,United Kingdom,Manchester,Wales,63883,South,PROD-984,Furniture,Chairs,Chairs 199,1271.54,4,0.08,141.33
ORD-10026,2023-09-03,2023-09-07,Second Class,CUST-1100,Customer 1100,Consumer,United Kingdom,Leeds,Scotland,54473,East,PROD-354,Technology,Machines,Machines 761,638.2,3,0.45,51.97
ORD-10027,2023-05-30,2023-06-01,Second Class,CUST-1143,Customer 1143,Corporate,United Kingdom,Birmingham,Wales,70637,West,PROD-995,Furniture,Bookcases,Bookcases 559,643.82,3,0.19,41.2
ORD-10028,2023-04-08,2023-04-12,Second Class,CUST-1051,Customer 1051,Home Office,United Kingdom,Bristol,England,22224,East,PROD-270,Office Supplies,Storage,Storage 200,179.9,3,0.13,15.41
ORD-10029,2023-04-08,2023-04-15,Second Class,CUST-1885,Customer 1885,Corporate,United Kingdom,London,England,59672,South,PROD-499,Office Supplies,Binders,Binders 318,61.48,2,0.37,0.98
ORD-10030,2023-07-30,2023-08-04,First Class,CUST-1713,Customer 1713,Home Office,United Kingdom,Glasgow,Scotland,96752,Central,PROD-598,Office Supplies,Binders,Binders 533,178.11,4,0.46,5.06
ORD-10031,2023-05-06,2023-05-11,Second Class,CUST-1991,Customer 1991,Consumer,United Kingdom,Bristol,Scotland,81066,West,PROD-865,Furniture,Tables,Tables 322,611.52,4,0.09,49.72
ORD-10032,2023-05-12,2023-05-14,Second Class,CUST-1488,Customer 1488,Home Office,United Kingdom,Glasgow,Scotland,30635,Central,PROD-620,Furniture,Chairs,Chairs 698,978.06,2,0.13,79.96
ORD-10033,2023-06-13,2023-06-17,Second Class,CUST-1069,Customer 1069,Home Office,United Kingdom,Glasgow,England,62923,East,PROD-683,Furniture,Chairs,Chairs 709,1106.85,3,0.04,119.89
ORD-10034,2023-06-09,2023-06-14,First Class,CUST-1634,Customer 1634,Consumer,United Kingdom,Leeds,Scotland,86503,West,PROD-635,Technology,Machines,Machines 140,658.55,2,0.19,114.61
ORD-10035,2023-07-19,2023-07-21,Second Class,CUST-1733,Customer 1733,Corporate,United Kingdom,Birmingham,Wales,61876,Central,PROD-787,Office Supplies,Paper,Paper 785,180.42,3,0.03,32.77
ORD-10036,2023-08-08,2023-08-12,First Class,CUST-1958,Customer 1958,Consumer,United Kingdom,London,Wales,91416,Central,PROD-202,Office Supplies,Binders,Binders 869,175.9,3,0.08,27.55
ORD-10037,2023-05-06,2023-05-07,Standard Class,CUST-1271,Customer 1271,Consumer,United Kingdom,Manchester,England,42018,East,PROD-391,Technology,Phones,Phones 618,1051.94,3,0.27,156.34
ORD-10038,2023-08-15,2023-08-20,Second Class,CUST-1309,Customer 1309,Home Office,United Kingdom,Glasgow,Scotland,79329,West,PROD-783,Office Supplies,Storage,Storage 820,237.45,5,0.25,24.89
ORD-10039,2023-08-02,2023-08-04,Second Class,CUST-1137,Customer 1137,Corporate,United Kingdom,London,England,82512,Central,PROD-378,Technology,Phones,Phones 999,821.62,2,0.23,122.15
ORD-10040,2023-03-02,2023-03-07,First Class,CUST-1351,Customer 1351,Consumer,United Kingdom,Cardiff,Scotland,44600,Central,PROD-600,Technology,Phones,Phones 834,1615.57,3,0.13,291.35
ORD-10041,2023-02-15,2023-02-22,Second Class,CUST-1433,Customer 1433,Corporate,United Kingdom,London,England,53719,Central,PROD-752,Furniture,Chairs,Chairs 749,524.06,4,0.07,54.24
ORD-10042,2023-06-29,2023-07-03,Second Class,CUST-1564,Customer 1564,Home Office,United Kingdom,Leeds,Scotland,11267,Central,PROD-177,Furniture,Bookcases,Bookcases 552,725.53,3,0.21,43.64
ORD-10043,2023-06-05,2023-06-08,Second Class,CUST-1378,Customer 1378,Home Office,United Kingdom,Bristol,England,66333,West,PROD-142,Technology,Phones,Phones 954,1030.11,3,0.2,159.98
ORD-10044,2023-03-31,2023-04-03,Standard Class,CUST-1215,Customer 1215,Home Office,United Kingdom,Birmingham,Scotland,23473,Central,PROD-898,Office Supplies,Paper,Paper 466,154.68,4,0.31,10.46
ORD-10045,2023-08-07,2023-08-08,Standard Class,CUST-1947,Customer 1947,Consumer,United Kingdom,Glasgow,England,33206,South,PROD-125,Technology,Machines,Machines 258,361.2,1,0.04,67.13
ORD-10046,2023-04-13,2023-04-19,Standard Class,CUST-1953,Customer 1953,Corporate,United Kingdom,Glasgow,Scotland,42527,West,PROD-263,Technology,Accessories,Accessories 901,483.14,2,0.36,52.7
ORD-10047,2023-02-25,2023-02-28,Standard Class,CUST-1481,Customer 1481,Consumer,United Kingdom,Birmingham,Wales,55830,East,PROD-940,Office Supplies,Paper,Paper 979,126.68,4,0.15,14.68
ORD-10048,2023-06-11,2023-06-16,Standard Class,CUST-1197,Customer 1197,Corporate,United Kingdom,Manchester,Wales,19099,West,PROD-459,Furniture,Chairs,Chairs 775,679.57,3,0.03,78.0
ORD-10049,2023-08-09,2023-08-16,First Class,CUST-1961,Customer 1961,Consumer,United Kingdom,London,Wales,33405,South,PROD-371,Technology,Machines,Machines 439,1716.32,4,0.3,223.46
ORD-10050,2023-08-06,2023-08-13,First Class,CUST-1353,Customer 1353,Home Office,United Kingdom,Glasgow,Wales,67199,East,PROD-623,Furniture,Bookcases,Bookcases 544,1085.04,3,0.19,59.56
ORD-10051,2023-07-25,2023-07-31,First Class,CUST-1260,Customer 1260,Consumer,United Kingdom,Cardiff,Wales,10221,East,PROD-925,Office Supplies,Storage,Storage 294,100.79,2,0.08,16.86
ORD-10052,2023-08-23,2023-08-27,First Class,CUST-1971,Customer 1971,Home Office,United Kingdom,Manchester,Scotland,51145,West,PROD-968,Office Supplies,Binders,Binders 171,89.22,2,0.11,5.91
ORD-10053,2023-06-15,2023-06-16,First Class,CUST-1316,Customer 1316,Home Office,United Kingdom,Leeds,Wales,62743,East,PROD-402,Technology,Accessories,Accessories 619,784.96,2,0.28,104.38
ORD-10054,2023-04-19,2023-04-24,First Class,CUST-1962,Customer 1962,Corporate,United Kingdom,Cardiff,Scotland,32810,West,PROD-682,Furniture,Tables,Tables 780,752.44,2,0.52,-32.89
ORD-10055,2023-11-06,2023-11-09,First Class,CUST-1000,Customer 1000,Corporate,United Kingdom,Manchester,England,66346,Central,PROD-721,Office Supplies,Storage,Storage 953,100.43,2,0.11,11.88
ORD-10056,2023-12-24,2023-12-26,First Class,CUST-1691,Customer 1691,Consumer,United Kingdom,Bristol,Wales,32241,Central,PROD-186,Office Supplies,Binders,Binders 552,100.43,2,0.03,22.77
ORD-10057,2023-09-21,2023-09-22,Standard Class,CUST-1634,Customer 1634,Corporate,United Kingdom,London,England,98184,Central,PROD-330,Technology,Machines,Machines 748,307.47,1,0.31,40.08
ORD-10058,2023-02-11,2023-02-13,Standard Class,CUST-1250,Customer 1250,Corporate,United Kingdom,Bristol,England,69692,West,PROD-744,Furniture,Chairs,Chairs 147,511.61,2,0.09,55.49
ORD-10059,2023-04-01,2023-04-03,First Class,CUST-1506,Customer 1506,Corporate,United Kingdom,Birmingham,England,95990,West,PROD-105,Technology,Machines,Machines 493,398.65,1,0.04,76.62
ORD-10060,2023-07-18,2023-07-24,First Class,CUST-1823,Customer 1823,Home Office,United Kingdom,Bristol,Wales,16582,East,PROD-355,Office Supplies,Paper,Paper 280,93.94,3,0.1,17.85
ORD-10061,2023-07-29,2023-08-04,Standard Class,CUST-1475,Customer 1475,Home Office,United Kingdom,Bristol,Scotland,88047,East,PROD-873,Office Supplies,Paper,Paper 920,58.17,2,0.14,9.36
ORD-10062,2023-05-21,2023-05-26,Standard Class,CUST-1436,Customer 1436,Home Office,United Kingdom,Leeds,England,72216,South,PROD-365,Technology,Machines,Machines 616,643.56,2,0.18,110.63
ORD-10063,2023-06-27,2023-07-04,Standard Class,CUST-1796,Customer 1796,Home Office,United Kingdom,Leeds,Scotland,41358,West,PROD-550,Technology,Accessories,Accessories 884,1497.66,4,0.19,251.64
ORD-10064,2023-07-07,2023-07-11,Second Class,CUST-1278,Customer 1278,Corporate,United Kingdom,Manchester,Scotland,20561,East,PROD-254,Technology,Accessories,Accessories 340,771.24,2,0.18,125.86
ORD-10065,2023-06-28,2023-07-02,Standard Class,CUST-1723,Customer 1723,Consumer,United Kingdom,London,Wales,63424,West,PROD-655,Office Supplies,Storage,Storage 256,199.37,4,0.02,32.7
ORD-10066,2023-07-11,2023-07-12,First Class,CUST-1852,Customer 1852,Corporate,United Kingdom,Leeds,Scotland,12560,South,PROD-489,Office Supplies,Paper,Paper 311,219.62,5,0.1,33.42
ORD-10067,2023-03-06,2023-03-13,First Class,CUST-1771,Customer 1771,Corporate,United Kingdom,Glasgow,Wales,80545,South,PROD-852,Furniture,Tables,Tables 405,996.18,4,0.22,58.84
ORD-10068,2023-04-29,2023-05-04,First Class,CUST-1446,Customer 1446,Corporate,United Kingdom,London,Wales,54057,West,PROD-795,Office Supplies,Paper,Paper 379,71.66,2,0.25,2.63
ORD-10069,2023-04-25,2023-04-27,Standard Class,CUST-1478,Customer 1478,Consumer,United Kingdom,Bristol,Scotland,13534,South,PROD-706,Technology,Phones,Phones 960,806.54,2,0.11,158.66
ORD-10070,2023-05-13,2023-05-20,Standard Class,CUST-1138,Customer 1138,Corporate,United Kingdom,Birmingham,England,44099,East,PROD-435,Furniture,Bookcases,Bookcases 538,897.23,3,0.13,85.89
ORD-10071,2023-05-28,2023-06-02,Second Class,CUST-1779,Customer 1779,Corporate,United Kingdom,Manchester,Wales,43065,West,PROD-581,Office Supplies,Binders,Binders 445,91.54,3,0.28,18.22
ORD-10072,2023-03-27,2023-04-02,First Class,CUST-1974,Customer 1974,Corporate,United Kingdom,Birmingham,Scotland,18993,East,PROD-141,Technology,Machines,Machines 153,900.52,2,0.15,153.94
ORD-10073,2023-09-09,2023-09-10,Standard Class,CUST-1020,Customer 1020,Home Office,United Kingdom,Birmingham,England,26544,East,PROD-785,Furniture,Chairs,Chairs 959,627.84,2,0.07,60.86
ORD-10074,2023-03-05,2023-03-06,First Class,CUST-1716,Customer 1716,Corporate,United Kingdom,Glasgow,Wales,31992,East,PROD-721,Technology,Phones,Phones 576,393.48,1,0.1,73.42
ORD-10075,2023-03-21,2023-03-26,Standard Class,CUST-1592,Customer 1592,Consumer,United Kingdom,Manchester,Scotland,98781,East,PROD-506,Furniture,Tables,Tables 210,363.42,2,0.12,28.29
ORD-10076,2023-02-12,2023-02-17,First Class,CUST-1850,Customer 1850,Home Office,United Kingdom,Birmingham,England,49529,West,PROD-714,Furniture,Bookcases,Bookcases 807,834.84,5,0.54,-40.95
ORD-10077,2023-06-03,2023-06-08,First Class,CUST-1545,Customer 1545,Corporate,United Kingdom,Cardiff,Wales,19038,East,PROD-763,Technology,Phones,Phones 455,1133.78,3,0.22,173.32
ORD-10078,2023-08-06,2023-08-09,Standard Class,CUST-1501,Customer 1501,Consumer,United Kingdom,Leeds,Wales,93307,Central,PROD-824,Furniture,Tables,Tables 942,495.96,3,0.09,44.92
ORD-10079,2023-04-28,2023-05-04,Standard Class,CUST-1534,Customer 1534,Home Office,United Kingdom,Manchester,Scotland,80539,West,PROD-576,Office Supplies,Paper,Paper 851,107.82,2,0.05,19.42
ORD-10080,2023-03-15,2023-03-17,Standard Class,CUST-1330,Customer 1330,Consumer,United Kingdom,Glasgow,England,46559,South,PROD-349,Technology,Machines,Machines 374,1469.27,3,0.29,193.04
ORD-10081,2023-08-05,2023-08-06,Second Class,CUST-1388,Customer 1388,Corporate,United Kingdom,London,Wales,52600,South,PROD-599,Technology,Machines,Machines 784,334.61,1,0.25,59.29
ORD-10082,2023-07-08,2023-07-14,Second Class,CUST-1286,Customer 1286,Home Office,United Kingdom,Cardiff,Wales,82848,West,PROD-629,Office Supplies,Binders,Binders 448,62.25,1,0.21,7.24
ORD-10083,2023-09-05,2023-09-10,First Class,CUST-1416,Customer 1416,Corporate,United Kingdom,Bristol,England,72402,West,PROD-828,Furniture,Chairs,Chairs 837,1141.78,4,0.13,83.28
ORD-10084,2023-03-14,2023-03-16,Standard Class,CUST-1301,Customer 1301,Consumer,United Kingdom,Leeds,Scotland,41890,South,PROD-779,Office Supplies,Paper,Paper 195,93.87,3,0.2,6.65
ORD-10085,2023-03-11,2023-03-18,Standard Class,CUST-1352,Customer 1352,Corporate,United Kingdom,Cardiff,Scotland,53357,Central,PROD-819,Office Supplies,Storage,Storage 643,124.79,3,0.21,16.09
ORD-10086,2023-02-25,2023-03-01,Second Class,CUST-1236,Customer 1236,Consumer,United Kingdom,Cardiff,England,51359,South,PROD-860,Office Supplies,Binders,Binders 357,64.19,2,0.02,12.07
ORD-10087,2023-04-30,2023-05-03,First Class,CUST-1495,Customer 1495,Corporate,United Kingdom,Cardiff,Scotland,78765,West,PROD-389,Furniture,Chairs,Chairs 856,845.44,2,0.29,28.99
ORD-10088,2023-11-04,2023-11-07,Second Class,CUST-1369,Customer 1369,Consumer,United Kingdom,Manchester,England,80010,East,PROD-380,Furniture,Tables,Tables 332,889.2,3,0.23,37.72
ORD-10089,2023-05-17,2023-05-22,Second Class,CUST-1714,Customer 1714,Consumer,United Kingdom,Cardiff,Wales,23446,East,PROD-687,Furniture,Bookcases,Bookcases 399,517.35,2,0.02,54.88
ORD-10090,2023-07-03,2023-07-06,Second Class,CUST-1348,Customer 1348,Consumer,United Kingdom,London,Wales,72616,Central,PROD-941,Office Supplies,Binders,Binders 551,96.36,2,0.15,13.49
ORD-10091,2023-04-23,2023-04-27,Second Class,CUST-1590,Customer 1590,Home Office,United Kingdom,Cardiff,England,29887,East,PROD-930,Office Supplies,Binders,Binders 175,157.59,4,0.0,29.24
ORD-10092,2023-09-08,2023-09-13,Second Class,CUST-1571,Customer 1571,Corporate,United Kingdom,Bristol,Scotland,91057,Central,PROD-894,Furniture,Chairs,Chairs 221,813.68,3,0.04,91.44
ORD-10093,2023-05-24,2023-05-31,First Class,CUST-1880,Customer 1880,Home Office,United Kingdom,Leeds,Wales,84531,South,PROD-161,Office Supplies,Binders,Binders 404,160.98,5,0.14,30.9
ORD-10094,2023-06-01,2023-06-06,Second Class,CUST-1270,Customer 1270,Home Office,United Kingdom,London,England,41439,East,PROD-665,Furniture,Bookcases,Bookcases 316,181.1,1,0.08,17.21
ORD-10095,2023-06-05,2023-06-09,Second Class,CUST-1461,Customer 1461,Home Office,United Kingdom,Bristol,Wales,48175,East,PROD-337,Furniture,Chairs,Chairs 518,701.85,3,0.12,59.79
ORD-10096,2023-06-24,2023-06-29,Standard Class,CUST-1880,Customer 1880,Corporate,United Kingdom,London,Scotland,40595,Central,PROD-906,Technology,Accessories,Accessories 819,775.03,2,0.15,138.79
ORD-10097,2024-01-02,2024-01-05,Second Class,CUST-1230,Customer 1230,Home Office,United Kingdom,Birmingham,Wales,28643,West,PROD-161,Office Supplies,Paper,Paper 657,157.75,3,0.2,30.72
ORD-10098,2023-07-29,2023-07-31,Standard Class,CUST-1844,Customer 1844,Home Office,United Kingdom,Manchester,Wales,26299,West,PROD-805,Office Supplies,Storage,Storage 866,29.46,1,0.22,3.01
ORD-10099,2023-05-09,2023-05-12,First Class,CUST-1512,Customer 1512,Home Office,United Kingdom,Leeds,Wales,20543,Central,PROD-140,Technology,Accessories,Accessories 378,608.41,2,0.06,120.31
ORD-10100,2023-06-05,2023-06-10,First Class,CUST-1256,Customer 1256,Consumer,United Kingdom,London,England,98381,South,PROD-701,Technology,Accessories,Accessories 718,1681.48,5,0.08,332.49
ORD-10101,2023-04-28,2023-05-02,Standard Class,CUST-1041,Customer 1041,Consumer,United Kingdom,Leeds,Scotland,95394,East,PROD-384,Technology,Accessories,Accessories 690,1382.62,3,0.2,220.38
ORD-10102,2023-05-30,2023-06-05,Standard Class,CUST-1833,Customer 1833,Corporate,United Kingdom,London,Wales,55607,West,PROD-441,Technology,Accessories,Accessories 750,1764.69,4,0.1,330.34
ORD-10103,2023-05-31,2023-06-05,Standard Class,CUST-1164,Customer 1164,Corporate,United Kingdom,Leeds,Scotland,74942,Central,PROD-778,Technology,Phones,Phones 978,852.6,2,0.12,159.92
ORD-10104,2023-06-02,2023-06-06,Standard Class,CUST-1090,Customer 1090,Corporate,United Kingdom,Manchester,Wales,25194,South,PROD-985,Technology,Phones,Phones 565,975.11,3,0.18,171.97
ORD-10105,2023-04-08,2023-04-12,First Class,CUST-1423,Customer 1423,Consumer,United Kingdom,Birmingham,Scotland,57419,East,PROD-874,Technology,Machines,Machines 573,311.54,2,0.17,46.5
ORD-10106,2023-05-09,2023-05-14,Standard Class,CUST-1052,Customer 1052,Consumer,United Kingdom,Manchester,Scotland,27172,South,PROD-548,Technology,Accessories,Accessories 878,1021.91,3,0.07,205.51
ORD-10107,2023-06-06,2023-06-10,First Class,CUST-1623,Customer 1623,Consumer,United Kingdom,Cardiff,England,50730,South,PROD-114,Furniture,Chairs,Chairs 745,198.11,1,0.13,9.79
ORD-10108,2023-09-13,2023-09-16,Second Class,CUST-1934,Customer 1934,Consumer,United Kingdom,Leeds,England,94896,South,PROD-610,Furniture,Chairs,Chairs 961,852.77,3,0.18,57.27
ORD-10109,2023-07-11,2023-07-12,First Class,CUST-1425,Customer 1425,Corporate,United Kingdom,Leeds,England,69871,Central,PROD-248,Technology,Machines,Machines 379,472.74,1,0.04,102.78
ORD-10110,2023-02-25,2023-03-02,Standard Class,CUST-1764,Customer 1764,Consumer,United Kingdom,Glasgow,England,46208,South,PROD-448,Furniture,Bookcases,Bookcases 620,323.32,2,0.04,40.99
ORD-10111,2023-07-13,2023-07-14,Second Class,CUST-1305,Customer 1305,Home Office,United Kingdom,Bristol,Scotland,74178,Central,PROD-557,Furniture,Tables,Tables 843,414.35,2,0.14,44.33
ORD-10112,2023-05-19,2023-05-21,Second Class,CUST-1781,Customer 1781,Home Office,United Kingdom,Leeds,Wales,52176,South,PROD-814,Office Supplies,Binders,Binders 665,91.9,3,0.08,17.5
ORD-10113,2023-03-27,2023-03-29,First Class,CUST-1876,Customer 1876,Corporate,United Kingdom,London,Wales,71993,West,PROD-930,Technology,Accessories,Accessories 339,2043.82,4,0.18,343.75
ORD-10114,2023-07-05,2023-07-08,Second Class,CUST-1840,Customer 1840,Home Office,United Kingdom,Birmingham,Wales,14852,South,PROD-614,Office Supplies,Storage,Storage 911,187.68,5,0.31,24.76
ORD-10115,2023-04-23,2023-04-27,Standard Class,CUST-1538,Customer 1538,Corporate,United Kingdom,London,Scotland,28894,Central,PROD-991,Furniture,Tables,Tables 202,210.3,1,0.16,10.48
ORD-10116,2023-07-14,2023-07-15,First Class,CUST-1992,Customer 1992,Corporate,United Kingdom,Manchester,Scotland,62098,West,PROD-182,Furniture,Tables,Tables 900,497.97,2,0.05,50.6
ORD-10117,2023-06-14,2023-06-16,First Class,CUST-1977,Customer 1977,Corporate,United Kingdom,Cardiff,Scotland,73956,Central,PROD-136,Technology,Machines,Machines 489,1177.76,2,0.04,250.21
ORD-10118,2023-05-14,2023-05-16,Standard Class,CUST-1943,Customer 1943,Corporate,United Kingdom,Birmingham,Scotland,21846,East,PROD-200,Furniture,Bookcases,Bookcases 800,1179.94,4,0.33,17.96
ORD-10119,2023-08-26,2023-08-28,Standard Class,CUST-1306,Customer 1306,Consumer,United Kingdom,London,Wales,17355,East,PROD-467,Office Supplies,Paper,Paper 810,91.86,2,0.16,10.67
ORD-10120,2023-06-28,2023-07-05,Second Class,CUST-1543,Customer 1543,Corporate,United Kingdom,Bristol,Scotland,33600,Central,PROD-279,Office Supplies,Paper,Paper 350,107.57,2,0.02,18.28
ORD-10121,2023-03-13,2023-03-17,Second Class,CUST-1699,Customer 1699,Consumer,United Kingdom,Leeds,Scotland,28758,East,PROD-572,Technology,Accessories,Accessories 734,1577.48,4,0.34,187.41
ORD-10122,2023-03-03,2023-03-04,Second Class,CUST-1009,Customer 1009,Corporate,United Kingdom,Manchester,Scotland,81643,Central,PROD-175,Office Supplies,Binders,Binders 782,62.19,2,0.08,15.73
ORD-10123,2023-07-11,2023-07-18,Standard Class,CUST-1654,Customer 1654,Corporate,United Kingdom,Cardiff,Wales,69878,South,PROD-303,Office Supplies,Storage,Storage 406,109.08,3,0.19,13.23
ORD-10124,2023-05-12,2023-05-17,First Class,CUST-1390,Customer 1390,Home Office,United Kingdom,Manchester,Scotland,48780,South,PROD-402,Office Supplies,Paper,Paper 342,42.29,1,0.08,-5.68
ORD-10125,2023-05-25,2023-05-28,First Class,CUST-1008,Customer 1008,Home Office,United Kingdom,Glasgow,Scotland,16428,East,PROD-863,Technology,Accessories,Accessories 381,1951.81,3,0.18,327.22
ORD-10126,2023-04-14,2023-04-20,First Class,CUST-1821,Customer 1821,Corporate,United Kingdom,Birmingham,Scotland,34920,South,PROD-356,Office Supplies,Paper,Paper 721,198.65,4,0.05,32.64
ORD-10127,2023-06-02,2023-06-05,First Class,CUST-1661,Customer 1661,Consumer,United Kingdom,Manchester,Wales,14373,West,PROD-473,Technology,Phones,Phones 742,1271.12,3,0.16,212.92
ORD-10128,2023-04-06,2023-04-08,First Class,CUST-1765,Customer 1765,Corporate,United Kingdom,Birmingham,England,27322,West,PROD-997,Furniture,Tables,Tables 434,386.97,3,0.26,13.71
ORD-10129,2023-08-24,2023-08-27,First Class,CUST-1850,Customer 1850,Consumer,United Kingdom,Manchester,Wales,48684,Central,PROD-991,Technology,Machines,Machines 379,1415.06,3,0.16,242.08
ORD-10130,2023-05-10,2023-05-14,Standard Class,CUST-1144,Customer 1144,Consumer,United Kingdom,Glasgow,Scotland,98395,Central,PROD-966,Furniture,Tables,Tables 177,1013.61,3,0.24,54.21
ORD-10131,2023-05-02,2023-05-08,First Class,CUST-1270,Customer 1270,Home Office,United Kingdom,London,Wales,58311,Central,PROD-866,Furniture,Tables,Tables 114,690.38,2,0.19,43.79
ORD-10132,2023-02-28,2023-03-03,Standard Class,CUST-1653,Customer 1653,Corporate,United Kingdom,London,Scotland,40647,Central,PROD-125,Technology,Accessories,Accessories 942,1444.79,3,0.17,245.58
ORD-10133,2023-05-09,2023-05-14,First Class,CUST-1064,Customer 1064,Home Office,United Kingdom,Glasgow,Wales,49608,Central,PROD-518,Technology,Phones,Phones 763,1366.21,3,0.41,136.37
